date,amount,category,description
20-07-2024,125.65,Income,Salary
20-07-2024,125.65,Income,Salary
21-07-2024,75.20,Expense,Groceries
22-07-2024,50.00,Expense,Transport
23-07-2024,200.00,Income,Freelance Work
24-07-2024,150.50,Expense,Utility Bills
25-07-2024,500.00,Income,Bonus
26-07-2024,60.00,Expense,Entertainment
27-07-2024,120.00,Expense,Shopping
28-07-2024,250.00,Income,Stock Dividend
29-07-2024,300.00,Income,Part-time Job
30-07-2024,100.00,Expense,Insurance
31-07-2024,90.75,Expense,Medical
01-08-2024,400.00,Income,Project Payment
02-08-2024,70.00,Expense,Gas
03-08-2024,250.00,Income,Consultation
04-08-2024,35.00,Expense,Snacks
05-08-2024,1200.00,Income,Salary
06-08-2024,45.50,Expense,Coffee
07-08-2024,80.00,Expense,Streaming Subscription
08-08-2024,30.00,Expense,Parking
09-08-2024,600.00,Income,Freelance Work
10-08-2024,75.00,Expense,Books
11-08-2024,45.00,Expense,Taxi
12-08-2024,110.00,Expense,Clothes
13-08-2024,100.00,Income,Gig Work
14-08-2024,80.00,Expense,Groceries
15-08-2024,300.00,Income,Gift
16-08-2024,150.00,Expense,Home Repairs
17-08-2024,90.00,Expense,Utilities
18-08-2024,50.00,Expense,Phone Bill
19-08-2024,400.00,Income,Freelance Work
20-08-2024,200.00,Income,Investment Returns
21-08-2024,60.00,Expense,Dining Out
22-08-2024,125.00,Income,Side Hustle
23-08-2024,70.00,Expense,Pet Supplies
24-08-2024,500.00,Income,Freelance Project
25-08-2024,45.00,Expense,Parking
26-08-2024,600.00,Income,Consulting Fee
27-08-2024,90.00,Expense,Streaming Service
28-08-2024,150.00,Expense,Shopping
29-08-2024,800.00,Income,Project Milestone
30-08-2024,70.00,Expense,Gasoline
31-08-2024,200.00,Income,Online Sales
